first_name,last_name,birthday_formatted,above_18,membership_id
Tony,Shepherd,20160703,false,Shepherd_1b71a
Sherry,Gonzalez,19730314,true,Gonzalez_345f8
Ashlee,Austin,19921209,true,Austin_fc60b
David,Brown,20010922,true,Brown_e4d2b
Marc,Meyer,19960517,true,Meyer_9e298
Jennifer,Vega,19710307,true,Vega_91945
Denise,Glass,19820531,true,Glass_a6a8f
Emily,Christian,19931127,true,Christian_4517e
Billy,Knight,19550127,true,Knight_8ce7c
Shane,Davis,20060625,false,Davis_36923
Laura,Harding,20171218,false,Harding_1f4d8
Zachary,Payne,20180217,false,Payne_f892f
Jeffery,Leon,20040324,true,Leon_b025f
Jennifer,Martin,19990112,true,Martin_f8628
Lori,Zimmerman,19980217,true,Zimmerman_3bb25
Katie,Mcgee,19670625,true,Mcgee_1ccfa
Michael,Parker,19841003,true,Parker_ce0d3
Robert,Atkins,20171109,false,Atkins_ba513
Stephanie,Brown,19760608,true,Brown_ff9d2
Erin,Paul,20081222,false,Paul_2eaef
Kristina,Torres,19560217,true,Torres_37e34
Aaron,Wilson,19870517,true,Wilson_6845c
Timothy,Scott,19920621,true,Scott_50683
Ronald,Carter,19680116,true,Carter_269bf
Catherine,Smith,19880520,true,Smith_2c838
Mrs.,Rivers,19750313,true,Rivers_4217f
Cynthia,White,19510821,true,White_10652
Shawn,Rojas,19601215,true,Rojas_4dc90
Evan,Bradford,19551101,true,Bradford_d831f
Samuel,Lee,19740902,true,Lee_d3d5c
John,Leon,19851129,true,Leon_29bd7
Karen,Lopez,19850624,true,Lopez_d5a4f
Rebekah,Jackson,19680514,true,Jackson_feb2c
Melissa,Hogan,20150531,false,Hogan_a5d5c
Megan,Wilson,19530831,true,Wilson_d5344
Justin,Roberts,20040212,true,Roberts_23d85
Ashley,Fernandez,19600322,true,Fernandez_35700
Terry,Oliver,20130708,false,Oliver_cc84f
Jennifer,Weaver,19781015,true,Weaver_feb81
Mr.,Ortega,19980104,true,Ortega_17e39
Brittany,Ellison,20040404,true,Ellison_93ac6
Aaron,Clark,19640511,true,Clark_1417b
Michael,Johnson,19500708,true,Johnson_cf878
Heather,Jones,20090711,false,Jones_b7270
Carly,Estrada,19760914,true,Estrada_e5e98
Alexandra,Hopkins,20150701,false,Hopkins_64b52
Brittany,Short,19930119,true,Short_23917
Julie,Hopkins,20180430,false,Hopkins_59961
Crystal,Long,19740827,true,Long_52aab
Jack,Jackson,19630106,true,Jackson_7140b
Amber,Smith,19681229,true,Smith_8b9ee
Christina,Cross,20070224,false,Cross_a98d4
Tina,Dickerson,20091102,false,Dickerson_842e8
Chase,Chavez,19610512,true,Chavez_7013a
Shelby,Williams,20160120,false,Williams_07ae0
Leonard,Hamilton,19880229,true,Hamilton_f2276
Shannon,Jones,19940506,true,Jones_17628
David,Goodwin,19771018,true,Goodwin_94f69
Stephen,Blankenship,20171021,false,Blankenship_afee6
Jacqueline,Stanton,19541011,true,Stanton_edec9
Allison,Callahan,19581025,true,Callahan_e102e
Kathy,Phillips,19841216,true,Phillips_608c9
Frank,Schaefer,19550210,true,Schaefer_9112a
Stephanie,Ross,19730312,true,Ross_7d854
Donald,Norman,19970726,true,Norman_fcb3f
Mitchell,Fleming,20091229,false,Fleming_32541
Derek,Romero,19670806,true,Romero_ae90e
Danny,Simmons,19631013,true,Simmons_cd946
Beth,Hall,19600712,true,Hall_ae8e6
Monica,Clark,19810408,true,Clark_48fdc
Michael,Rodriguez,20120903,false,Rodriguez_54022
Emily,Davis,19751005,true,Davis_d9a5f
Samantha,Arnold,19720105,true,Arnold_760c3
Adam,Davidson,20160909,false,Davidson_0768e
Kristen,Wallace,19950419,true,Wallace_027a7
Michael,Johnson,20160407,false,Johnson_66ed1
Richard,Flores,19830228,true,Flores_640e9
Nicole,Page,19840704,true,Page_66fb0
Anna,Crawford,20080217,false,Crawford_0ce9a
David,Stokes,19810825,true,Stokes_5e021
Jennifer,Jimenez,19921121,true,Jimenez_5ed59
John,Howell,19590821,true,Howell_f9406
Lacey,Cochran,20040928,true,Cochran_2b9c9
Jessica,Burns,19810601,true,Burns_d5b3f
Matthew,Blevins,19650309,true,Blevins_54405
Sabrina,Young,20110211,false,Young_b204a
Ricardo,Brown,19790830,true,Brown_85e66
Wesley,Combs,19651230,true,Combs_37075
Heather,Conley,19570509,true,Conley_0c34f
Lauren,Chen,20181205,false,Chen_0ad01
Penny,Lopez,19540925,true,Lopez_7b621
Kristin,Baker,20110429,false,Baker_37f79
Jacqueline,Wilson,20100329,false,Wilson_ba931
Becky,Robinson,19910920,true,Robinson_e61ad
Greg,Hendrix,19780506,true,Hendrix_f7c42
Brandon,Erickson,19821119,true,Erickson_e6aec
Theresa,Ross,19690618,true,Ross_d9594
Julian,Nguyen,20130327,false,Nguyen_eb3e8
Charles,Shields,19790407,true,Shields_21876
Adriana,Perez,19560114,true,Perez_ff9ec
Melissa,Jackson,19960112,true,Jackson_ad8fa
William,Ortiz,19900623,true,Ortiz_ee187
Mark,Johnson,19781117,true,Johnson_b79d1
Troy,Phillips,19511027,true,Phillips_416af
Sarah,Porter,19701221,true,Porter_c0b66
Mark,Scott,19760512,true,Scott_446e0
Joseph,Sullivan,19790712,true,Sullivan_fed98
Andrew,Ryan,20121128,false,Ryan_dc7fd
Paula,Dixon,19990224,true,Dixon_6fbdf
Dr.,Hernandez,20150803,false,Hernandez_7dacc
Donald,Jimenez,20160207,false,Jimenez_c8e22
Mr.,Parker,19520208,true,Parker_b3684
Austin,Stevens,19921206,true,Stevens_3f3b7
Heather,Rogers,19960419,true,Rogers_bf259
Christopher,Cline,19580228,true,Cline_b17cc
Victoria,Lawson,19540412,true,Lawson_6d37f
James,Cordova,19580904,true,Cordova_fbd7a
Denise,Smith,19920502,true,Smith_24f4c
Amanda,Myers,19770324,true,Myers_459e3
Johnny,Mooney,19510929,true,Mooney_7a2b0
Corey,Spencer,19950513,true,Spencer_36e7b
Jacqueline,Davis,20090612,false,Davis_58c12
Kayla,Davis,20070827,false,Davis_a4981
Bradley,Poole,19950424,true,Poole_15ebe
William,Pierce,19871003,true,Pierce_64b72
Brianna,Berg,19911110,true,Berg_9ccf5
Jimmy,Fischer,20110724,false,Fischer_719ca
Frances,Harris,19690922,true,Harris_c3e83
Kenneth,Benton,20171119,false,Benton_8796b
Christopher,Newman,19950925,true,Newman_d7b88
Rebecca,Jackson,19690628,true,Jackson_92f2d
Veronica,Bradshaw,19650718,true,Bradshaw_5e95c
Catherine,Allen,19800905,true,Allen_95c08
Michael,Martinez,19521107,true,Martinez_bc0fc
Andrea,Carrillo,19920215,true,Carrillo_495e3
Kelly,Bailey,19960217,true,Bailey_c3f8e
Kerry,Byrd,19710720,true,Byrd_b962b
Gregory,Lambert,19751007,true,Lambert_a115b
Dale,Anderson,19780725,true,Anderson_95026
Jacob,Sherman,19561203,true,Sherman_f4173
Samantha,Sullivan,19600423,true,Sullivan_61495
David,Webb,19540603,true,Webb_84ee5
Tonya,Green,20080331,false,Green_97105
Alexis,Lane,20000622,true,Lane_87413
Joyce,Cannon,19600409,true,Cannon_0bb8a
Anne,Ray,20150902,false,Ray_73810
Karen,Williams,19650611,true,Williams_96e27
