name,email,date_of_birth,mobile_no,unsuccessful_reason
Tony Shepherd,Tony_Shepherd@petersen.com,07/03/2016,711447,invalid mobile
Sherry Gonzalez,Sherry_Gonzalez@caldwell.biz,14-03-1973,66744895,invalid email
Ashlee Austin,Ashlee_Austin@melendez.com,12/09/1992,6454197,invalid mobile
David Brown,David_Brown@jackson-smith.biz,2001-09-22,69082983,invalid email
Marc Meyer,Marc_Meyer@chavez.com,1996/05/17,9727376,invalid mobile
Denise Glass,Denise_Glass@calderon.org,1982-05-31,77863943,invalid email
Emily Christian,Emily_Christian@hardy-ball.biz,1993/11/27,83586,invalid mobile
Billy Knight,Billy_Knight@thomas.biz,01/27/1955,4983 3743,invalid email
Shane Davis,Shane_Davis@smith.net,2006/06/25,42361783,below 18
Laura Harding,Laura_Harding@jackson.com,2017-12-18,32048503,below 18
Zachary Payne,Zachary_Payne@espinoza.info,17-02-2018,7802719,invalid mobile
Jeffery Leon,Jeffery_Leon@clark.com,2004-03-24,9076271,invalid mobile
Jennifer Martin,Jennifer_Martin@anderson-ford.com,1999-01-12,1878563,invalid mobile
Lori Zimmerman,Lori_Zimmerman@smith-bradley.biz,1998-02-17,14572007,invalid email
Katie Mcgee,Katie_Mcgee@moran.com,25-06-1967,65726,invalid mobile
Michael Parker,Michael_Parker@mcfarland-johns.com,1984-10-03,569205,invalid mobile
Robert Atkins,Robert_Atkins@west.net,09-11-2017,831963,invalid mobile
Stephanie Brown,Stephanie_Brown@mueller-simmons.info,08-06-1976,8354970,invalid mobile
Erin Paul,Erin_Paul@vaughan-moore.com,12/22/2008,923211,invalid mobile
Kristina Torres,Kristina_Torres@wilson.com,02/17/1956,65486,invalid mobile
Timothy Scott,Timothy_Scott@williams.info,21-06-1992,169047,invalid mobile
Ronald Carter,Ronald_Carter@campbell-fitzgerald.com,16-01-1968,5109812,invalid mobile
Catherine Smith,Catherine_Smith@king.org,20-05-1988,1996933,invalid mobile
Mrs. Catherine Rivers,Catherine_Rivers@tate-barnes.com,1975/03/13,8648641,invalid mobile
Cynthia White,Cynthia_White@hogan.com,1951-08-21,722319,invalid mobile
Shawn Rojas,Shawn_Rojas@weber.com,15-12-1960,64641,invalid mobile
Evan Bradford,Evan_Bradford@may.biz,1955/11/01,28249239,invalid email
John Leon,John_Leon@campbell-wu.org,1985/11/29,5767672,invalid mobile
Karen Lopez,Karen_Lopez@vargas-lewis.com,24-06-1985,8649712,invalid mobile
Rebekah Jackson,Rebekah_Jackson@cook.info,1968-05-14,14674871,invalid email
Melissa Hogan,Melissa_Hogan@rodriguez-hughes.biz,2015-05-31,68883495,invalid email
Megan Wilson,Megan_Wilson@martinez.com,08/31/1953,591723,invalid mobile
Justin Roberts,Justin_Roberts@wilson.com,12-02-2004,1171528,invalid mobile
Ashley Fernandez,Ashley_Fernandez@johnson-perry.info,1960-03-22,49631,invalid mobile
Terry Oliver,Terry_Oliver@raymond-stewart.info,08-07-2013,6019686,invalid mobile
Brittany Ellison,Brittany_Ellison@nolan.com,2004/04/04,82360847,below 18
Aaron Clark,Aaron_Clark@sanchez.com,1964-05-11,3522877,invalid mobile
Michael Johnson,Michael_Johnson@jackson-cervantes.com,07/08/1950,763653,invalid mobile
Heather Jones,Heather_Jones@medina.org,11-07-2009,57191,invalid mobile
Carly Estrada,Carly_Estrada@kim.com,1976-09-14,2972565,invalid mobile
Alexandra Hopkins,Alexandra_Hopkins@gaines.com,07/01/2015,2092056,invalid mobile
Brittany Short,Brittany_Short@bowen.com,1993-01-19,9283373,invalid mobile
Julie Hopkins,Julie_Hopkins@roberts.com,30-04-2018,57706,invalid mobile
Crystal Long,Crystal_Long@alvarez-warner.biz,27-08-1974,528699,invalid mobile
Jack Jackson,Jack_Jackson@barron.biz,1963/01/06,6430880,invalid mobile
Amber Smith,Amber_Smith@ho.biz,1968/12/29,54476327,invalid email
Christina Cross,Christina_Cross@terry-cooper.com,02/24/2007,828471,invalid mobile
Tina Dickerson,Tina_Dickerson@gordon-harrison.info,11/02/2009,21856,invalid mobile
Chase Chavez,Chase_Chavez@vasquez.com,05/12/1961,74541,invalid mobile
Shelby Williams,Shelby_Williams@white-cabrera.com,2016-01-20,9588272,invalid mobile
Shannon Jones,Shannon_Jones@choi-acosta.biz,06-05-1994,59291,invalid mobile
David Goodwin,David_Goodwin@rivera-jones.com,1977-10-18,6647831,invalid mobile
Stephen Blankenship,Stephen_Blankenship@jefferson-anderson.com,21-10-2017,24416,invalid mobile
Jacqueline Stanton,Jacqueline_Stanton@hawkins.com,1954/10/11,42606,invalid mobile
Allison Callahan,Allison_Callahan@weber.com,1958/10/25,581313,invalid mobile
Frank Schaefer,Frank_Schaefer@richardson-norton.com,02/10/1955,30771,invalid mobile
Stephanie Ross,Stephanie_Ross@barker.com,1973/03/12,9489831,invalid mobile
Donald Norman,Donald_Norman@copeland.com,07/26/1997,245049,invalid mobile
Mitchell Fleming,Mitchell_Fleming@nguyen.net,2009-12-29,281433,invalid mobile
Derek Romero,Derek_Romero@ramos.org,1967-08-06,35013079,invalid email
Beth Hall,Beth_Hall@brown.org,07/12/1960,9931 3667,invalid email
Monica Clark,Monica_Clark@price-burgess.biz,04/08/1981,12191,invalid mobile
Michael Rodriguez,Michael_Rodriguez@perez.net,2012/09/03,861723,invalid mobile
Emily Davis,Emily_Davis@barker.info,10/05/1975,947103,invalid mobile
Samantha Arnold,Samantha_Arnold@rogers-bentley.org,01/05/1972,91936,invalid mobile
Adam Davidson,Adam_Davidson@snyder.com,2016-09-09,92651,invalid mobile
Kristen Wallace,Kristen_Wallace@greer.net,1995/04/19,91796,invalid mobile
Michael Johnson,Michael_Johnson@martin.com,07-04-2016,95308759,below 18
Richard Flores,Richard_Flores@gomez-young.org,02/28/1983,171405,invalid mobile
Nicole Page,Nicole_Page@ross.com,1984/07/04,60101,invalid mobile
Anna Crawford,Anna_Crawford@brown.com,2008/02/17,8133399,invalid mobile
David Stokes,David_Stokes@tyler-smith.org,1981/08/25,1236621,invalid mobile
John Howell,John_Howell@sims.biz,08/21/1959,7727 5467,invalid email
Lacey Cochran,Lacey_Cochran@flowers.com,2004/09/28,38946,invalid mobile
Jessica Burns,Jessica_Burns@maynard-ruiz.com,1981-06-01,231345,invalid mobile
Matthew Blevins,Matthew_Blevins@johnson.com,03/09/1965,24726,invalid mobile
Sabrina Young,Sabrina_Young@walters-freeman.net,2011-02-11,26381,invalid mobile
Ricardo Brown,Ricardo_Brown@pitts-jimenez.com,1979/08/30,8765961,invalid mobile
Wesley Combs,Wesley_Combs@bright-zimmerman.biz,1965-12-30,43019751,invalid email
Heather Conley,Heather_Conley@clements.com,1957-05-09,8704802,invalid mobile
Lauren Chen,Lauren_Chen@smith-richardson.com,2018/12/05,24942983,below 18
Kristin Baker,Kristin_Baker@baker-li.info,2011/04/29,385431,invalid mobile
Jacqueline Wilson,Jacqueline_Wilson@davis.com,29-03-2010,4610005,invalid mobile
Becky Robinson,Becky_Robinson@navarro-rodriguez.com,1991-09-20,118719,invalid mobile
Greg Hendrix,Greg_Hendrix@miller-brown.com,1978-05-06,76556,invalid mobile
