name,email,date_of_birth,mobile_no,unsuccessful_reason
William Dixon,William_Dixon@woodward-fuller.biz,1986/01/10,40601711,invalid email
Kristen Horn,Kristen_Horn@lin.com,1974-09-10,737931,invalid mobile
Kimberly Chang,Kimberly_Chang@johnson-lopez.biz,02/27/1974,2692047,invalid mobile
Mary Ball,Mary_Ball@stevens.biz,02/05/1968,886359,invalid mobile
Benjamin Craig,Benjamin_Craig@berry.net,12/11/1988,696429,invalid mobile
Cathy Werner,Cathy_Werner@martinez.net,2018-09-25,7138041,invalid mobile
Brandon Bell,Brandon_Bell@johnson-burgess.com,1961-10-27,768543,invalid mobile
Paul Farley,Paul_Farley@payne-taylor.com,1980-11-22,8196105,invalid mobile
Sarah Mcdaniel,Sarah_Mcdaniel@hughes-simon.com,2017/04/26,12556,invalid mobile
Caroline Anderson,Caroline_Anderson@blair-phillips.com,02/27/1988,5818212,invalid mobile
Carl Jones,Carl_Jones@coleman.com,06/21/1993,220035,invalid mobile
Scott Lee,Scott_Lee@phillips.com,2010-07-12,52145751,below 18
Kaylee Coleman,Kaylee_Coleman@hammond.com,10/08/2009,156657,invalid mobile
Charles Parker,Charles_Parker@morris-keller.com,12/20/1980,92921,invalid mobile
Susan Hess,Susan_Hess@sharp-hodges.net,1950-05-21,46541,invalid mobile
Kiara Collier,Kiara_Collier@chandler.biz,1959-05-21,955551,invalid mobile
Mr. Scott Martinez,Scott_Martinez@goodwin.com,02/16/1992,369441,invalid mobile
Christopher Ortega,Christopher_Ortega@perez.biz,1959-06-18,9968155,invalid mobile
Michael Russell,Michael_Russell@nunez-wright.com,2013/01/20,6400283,invalid mobile
Dwayne Johnson,Dwayne_Johnson@contreras-boyd.com,2006/11/10,115935,invalid mobile
Deanna Sherman,Deanna_Sherman@wright-sanchez.org,25-04-1975,143073,invalid mobile
Douglas Francis,Douglas_Francis@king-cross.org,21-12-1992,1535885,invalid mobile
Vicki Diaz,Vicki_Diaz@macdonald-day.com,1993/10/05,165459,invalid mobile
Robin Phillips,Robin_Phillips@krause.net,1974-07-15,69531,invalid mobile
Travis Rice,Travis_Rice@bradley.net,05/08/2006,3631 6303,below 18
Ashley Rocha,Ashley_Rocha@hicks.info,1956/09/11,7046565,invalid mobile
Sarah Jacobson,Sarah_Jacobson@mclean-jacobs.info,03/09/1958,6107 1779,invalid email
Kayla Shannon,Kayla_Shannon@hendricks-hunter.org,1984/05/17,51323743,invalid email
Joseph Torres,Joseph_Torres@johnson.com,1955/05/05,34376,invalid mobile
Kim Jones,Kim_Jones@little.net,02-11-1985,34401,invalid mobile
Melissa Tanner,Melissa_Tanner@johnson.net,04/30/1989,70391,invalid mobile
Sonya Foster,Sonya_Foster@garcia-browning.com,10-09-1988,143877,invalid mobile
Mr. Thomas Rivera,Thomas_Rivera@guzman-avila.com,1951/07/15,843813,invalid mobile
Jamie Silva,Jamie_Silva@hill.com,2006/06/21,469791,invalid mobile
Kathleen Moore,Kathleen_Moore@avila.info,1952/02/03,609093,invalid mobile
Evelyn Pineda,Evelyn_Pineda@sullivan-collins.net,02/04/1958,8819217,invalid mobile
Kyle Peters,Kyle_Peters@cole-edwards.com,1995/08/25,346701,invalid mobile
Anthony Cruz,Anthony_Cruz@burns.com,22-02-1955,1742399,invalid mobile
Gary Harper,Gary_Harper@bell-mueller.com,01/11/1998,77546,invalid mobile
